openalex_id,openalex_label,area_id,confidence,notes
# OpenAlex topic / concept → cod-kmap research_areas crosswalk.
# Used by scripts/compute_person_areas.py to derive person_areas from
# the per-publication topics stored in publication_topics.
#
# One OpenAlex id may map to multiple area_ids — emit one row per pair.
# `confidence` is one of high|medium|low and is used as a multiplier
# (1.0 / 0.7 / 0.4) when summing weights across a person's publications.
#
# IMPORTANT: only marine / coastal / oceanographic topics are mapped
# here. Off-domain topics (cardiology, particle physics, oral
# microbiology…) are intentionally absent so the aggregator skips them
# and we don't dilute a person's research-area scores with co-author
# noise from cross-disciplinary collaborations.
#
# ============ TOPICS (Tnnnnn) — newer OpenAlex 4500-leaf hierarchy ============
T10032,Marine and coastal ecosystems,marine-ecosystems,high,
T10230,Marine and fisheries research,fisheries-and-aquaculture,high,
T10230,Marine and fisheries research,marine-ecosystems,medium,
T10779,Coastal wetland ecosystem dynamics,estuaries-and-wetlands,high,
T10779,Coastal wetland ecosystem dynamics,salt-marshes,high,
T10779,Coastal wetland ecosystem dynamics,tidal-wetlands,high,
T10765,Marine Biology and Ecology Research,biological-oceanography,high,
T10765,Marine Biology and Ecology Research,marine-ecosystems,medium,
T10643,Marine and coastal plant biology,seagrass,high,
T10643,Marine and coastal plant biology,mangroves,high,
T10643,Marine and coastal plant biology,coastal-terrestrial-ecosystems,medium,
T10302,Fish Ecology and Management Studies,fisheries-and-aquaculture,high,
T10302,Fish Ecology and Management Studies,marine-ecosystems,medium,
T10341,Coral and Marine Ecosystems Studies,coral-reefs,high,
T10341,Coral and Marine Ecosystems Studies,marine-ecosystems,medium,
T10255,Oceanographic and Atmospheric Processes,physical-oceanography,high,
T10255,Oceanographic and Atmospheric Processes,oceanography,medium,
T11088,Marine Bivalve and Aquaculture Studies,fisheries-and-aquaculture,high,
T11088,Marine Bivalve and Aquaculture Studies,marine-ecosystems,medium,
T11791,Microbial Community Ecology and Physiology,marine-biogeochemistry,medium,
T10017,Geology and Paleoclimatology Research,marine-geology,high,
T10017,Geology and Paleoclimatology Research,climate-and-sea-level,medium,
T10647,Coastal and Marine Dynamics,coastal-processes,high,
T10647,Coastal and Marine Dynamics,sediment-transport,medium,
T10995,Methane Hydrates and Related Phenomena,marine-geology,high,
T10995,Methane Hydrates and Related Phenomena,marine-biogeochemistry,medium,
T10659,Marine animal studies overview,marine-ecosystems,high,
T10659,Marine animal studies overview,marine-mammals,medium,
T12073,Isotope Analysis in Ecology,marine-biogeochemistry,medium,
T11459,Arctic and Antarctic ice dynamics,polar-and-cryosphere,high,
T12806,Ocean Acidification Effects and Responses,ocean-acidification,high,
T12806,Ocean Acidification Effects and Responses,marine-biogeochemistry,medium,
T12414,Coastal and Marine Management,marine-policy-and-socio-economics,high,
T12414,Coastal and Marine Management,coastal-processes,medium,
T11311,Soil and Water Nutrient Dynamics,marine-biogeochemistry,medium,
T11311,Soil and Water Nutrient Dynamics,estuaries-and-wetlands,low,
T10029,Climate variability and models,climate-and-sea-level,high,
T10029,Climate variability and models,physical-oceanography,medium,
T10026,Galaxies: Formation, Evolution, Phenomena,,low,off-domain (astronomy)
T11588,Atmospheric and Environmental Gas Dynamics,marine-biogeochemistry,medium,
T10895,Species Distribution and Climate Change,marine-ecosystems,medium,
T10895,Species Distribution and Climate Change,climate-and-sea-level,medium,
T10001,Geological and Geochemical Analysis,marine-geology,medium,
T10398,Groundwater and Isotope Geochemistry,coastal-processes,low,
T10330,Hydrology and Watershed Management Studies,coastal-processes,medium,
T10330,Hydrology and Watershed Management Studies,estuaries-and-wetlands,low,
T10012,Genetic diversity and population structure,marine-ecosystems,low,
T10236,Aquatic Ecosystems and Phytoplankton Dynamics,biological-oceanography,high,
T10236,Aquatic Ecosystems and Phytoplankton Dynamics,harmful-algal-blooms,medium,
T11698,Underwater Acoustics Research,ocean-observing-systems,high,
T11698,Underwater Acoustics Research,marine-mammals,medium,
T12596,Cephalopods and Marine Biology,marine-ecosystems,high,
T12596,Cephalopods and Marine Biology,deep-sea,medium,
T12091,Peatlands and Wetlands Ecology,estuaries-and-wetlands,medium,
T12091,Peatlands and Wetlands Ecology,coastal-terrestrial-ecosystems,medium,
T11056,Physiological and biochemical adaptations,biological-oceanography,low,
T10577,Hydrology and Sediment Transport Processes,sediment-transport,high,
T10577,Hydrology and Sediment Transport Processes,coastal-processes,medium,
T10226,Land Use and Ecosystem Services,coastal-terrestrial-ecosystems,medium,
T10226,Land Use and Ecosystem Services,marine-policy-and-socio-economics,low,
T10450,Aquaculture Nutrition and Growth,fisheries-and-aquaculture,high,
T10669,Freshwater macroinvertebrate diversity and ecology,estuaries-and-wetlands,low,
T14047,Marine and environmental studies,marine-ecosystems,high,
T14047,Marine and environmental studies,oceanography,medium,
T10319,"Conservation, Biodiversity, and Resource Management",marine-ecosystems,medium,
T10319,"Conservation, Biodiversity, and Resource Management",marine-policy-and-socio-economics,medium,
T10466,Meteorological Phenomena and Simulations,climate-and-sea-level,medium,
T12213,Marine Ecology and Invasive Species,marine-ecosystems,high,
T12213,Marine Ecology and Invasive Species,coastal-disturbance,medium,
T12097,Aquatic Invertebrate Ecology and Behavior,marine-ecosystems,medium,
T11004,Crustacean biology and ecology,marine-ecosystems,medium,
T11004,Crustacean biology and ecology,fisheries-and-aquaculture,low,
T10199,Wildlife Ecology and Conservation,coastal-terrestrial-ecosystems,low,
T12142,Marine Invertebrate Physiology and Ecology,marine-ecosystems,high,
T12142,Marine Invertebrate Physiology and Ecology,biological-oceanography,medium,
T11333,Climate change and permafrost,polar-and-cryosphere,high,
T11333,Climate change and permafrost,climate-and-sea-level,medium,
T12383,Aeolian processes and effects,coastal-erosion,medium,
T11061,Ocean Waves and Remote Sensing,physical-oceanography,high,
T11061,Ocean Waves and Remote Sensing,remote-sensing,high,
T11985,Marine Toxins and Detection Methods,harmful-algal-blooms,high,
T11656,Turtle Biology and Conservation,marine-ecosystems,high,
T11387,Ichthyology and Marine Biology,fisheries-and-aquaculture,high,
T11387,Ichthyology and Marine Biology,marine-ecosystems,medium,
T10089,Avian ecology and behavior,seabirds,high,
T10089,Avian ecology and behavior,coastal-terrestrial-ecosystems,low,
T11340,Marine Sponges and Natural Products,marine-ecosystems,high,
T11340,Marine Sponges and Natural Products,coral-reefs,medium,
T10447,Environmental Toxicology and Ecotoxicology,marine-debris-and-plastics,medium,
T10447,Environmental Toxicology and Ecotoxicology,marine-biogeochemistry,low,
T12640,Environmental DNA in Biodiversity Studies,marine-ecosystems,medium,
T10506,Aquaculture disease management and microbiota,fisheries-and-aquaculture,high,
T10564,Wastewater Treatment and Nitrogen Removal,coastal-processes,low,
T13205,Geological and Geophysical Studies Worldwide,marine-geology,low,
T10946,Radioactivity and Radon Measurements,marine-biogeochemistry,low,
T10644,Cryospheric studies and observations,polar-and-cryosphere,high,
T11665,Animal Vocal Communication and Behavior,marine-mammals,medium,
T10930,Flood Risk Assessment and Management,tsunamis-and-coastal-hazards,medium,
T10930,Flood Risk Assessment and Management,coastal-processes,low,
T12316,Oil Spill Detection and Mitigation,marine-policy-and-socio-economics,medium,
T12316,Oil Spill Detection and Mitigation,marine-debris-and-plastics,medium,
T11634,Water Quality and Pollution Assessment,marine-biogeochemistry,medium,
T11634,Water Quality and Pollution Assessment,marine-debris-and-plastics,low,
T11089,Radioactive contamination and transfer,marine-biogeochemistry,low,
T10757,Geographic Information Systems Studies,remote-sensing,medium,
T13939,Archaeology and Natural History,coastal-processes,low,
T10122,Toxic Organic Pollutants Impact,marine-debris-and-plastics,medium,
T11740,Geochemistry and Elemental Analysis,marine-biogeochemistry,medium,
T10894,Groundwater flow and contamination studies,coastal-processes,low,
T10889,Soil erosion and sediment transport,sediment-transport,high,
T10889,Soil erosion and sediment transport,coastal-erosion,medium,
T11164,Remote Sensing and LiDAR Applications,remote-sensing,high,
T11164,Remote Sensing and LiDAR Applications,shoreline-change,medium,
T12319,Fish Biology and Ecology Studies,fisheries-and-aquaculture,high,
T12319,Fish Biology and Ecology Studies,marine-ecosystems,medium,
T11192,Underwater Vehicles and Communication Systems,ocean-observing-systems,high,
T11483,Tropical and Extratropical Cyclones Research,tsunamis-and-coastal-hazards,medium,
T11483,Tropical and Extratropical Cyclones Research,climate-and-sea-level,low,
T10174,Animal Behavior and Reproduction,marine-ecosystems,low,
T10005,Ecology and Vegetation Dynamics Studies,coastal-terrestrial-ecosystems,low,
T10487,Plant and animal studies,coastal-terrestrial-ecosystems,low,
T10965,Geological formations and processes,marine-geology,medium,
T10110,earthquake and tectonic studies,tsunamis-and-coastal-hazards,medium,
T10110,earthquake and tectonic studies,marine-geology,low,
T12071,Marine Biology and Environmental Chemistry,marine-biogeochemistry,high,
T12071,Marine Biology and Environmental Chemistry,marine-ecosystems,medium,
T11879,Protist diversity and phylogeny,biological-oceanography,medium,
T13388,Rangeland and Wildlife Management,coastal-terrestrial-ecosystems,low,
T10555,Fire effects on ecosystems,coastal-disturbance,medium,
T12614,Indigenous Studies and Ecology,marine-policy-and-socio-economics,medium,
# ============ Long Tail topics — broad LTER / freshwater / disturbance / etc ============
T11405,Geophysics and Gravity Measurements,marine-geology,low,
T10399,Hydrocarbon exploration and reservoir analysis,marine-geology,low,
T13193,Geological Studies and Exploration,marine-geology,low,
T10413,High-pressure geophysics and materials,marine-geology,low,
T11362,Membrane Separation and Gas Transport,,low,off-domain
T10295,Plasmonic and Surface Plasmon Research,,low,off-domain
T10299,Photonic and Optical Devices,,low,off-domain
T11854,Laser-induced spectroscopy and plasma,,low,off-domain
T10257,Oral microbiology and periodontitis research,,low,off-domain
T10261,Genetic Associations and Epidemiology,,low,off-domain
T10031,T-cell and B-cell Immunology,,low,off-domain
T11020,Immune Cell Function and Interaction,,low,off-domain
T10878,CRISPR and Genetic Engineering,,low,off-domain
T10268,Developmental Biology and Gene Regulation,,low,off-domain
T10015,Genomics and Phylogenetic Studies,,low,off-domain
T10266,Plant Water Relations and Carbon Dynamics,coastal-terrestrial-ecosystems,low,
T10751,Forensic and Genetic Research,,low,off-domain
# ============ CONCEPTS (Cnnnnnnnnnn) — older 6-level Wikidata-derived hierarchy ============
# Only a handful are useful; the canonical OpenAlex topics above are
# already higher-quality, but concepts give us an additional fallback
# when topics are missing for older publications.
C39432304,Environmental science,marine-ecosystems,low,
C111368507,Earth science,oceanography,low,
C107826830,Geology,marine-geology,low,
C18903297,Ecosystem,marine-ecosystems,low,
C53570757,Estuary,estuaries-and-wetlands,medium,
C19354541,Mangrove,mangroves,high,
C2778870195,Seagrass,seagrass,high,
C2778889925,Coral reef,coral-reefs,high,
C151730666,Phytoplankton,biological-oceanography,medium,
C2776035688,Sea level rise,climate-and-sea-level,high,
C2779080207,Coastal erosion,coastal-erosion,high,
C2992653833,Salt marsh,salt-marshes,high,
C2780887740,Marine ecosystem,marine-ecosystems,high,
C194969405,Sediment transport,sediment-transport,high,
C2778312941,Ocean acidification,ocean-acidification,high,
C2779010993,Tidal wetland,tidal-wetlands,high,
C181199279,Algal bloom,harmful-algal-blooms,high,
C26873012,Coastal management,marine-policy-and-socio-economics,medium,
C2778572836,Marine debris,marine-debris-and-plastics,high,
C2779343474,Microplastic,marine-debris-and-plastics,high,
C156695742,Tsunami,tsunamis-and-coastal-hazards,high,
C204323151,Aquaculture,fisheries-and-aquaculture,high,
C111368507,Fishery,fisheries-and-aquaculture,high,
C2776638537,Kelp forest,kelp-forests,high,
C115343472,Kelp,kelp-forests,medium,
C2780377012,Polar regions,polar-and-cryosphere,high,
C156325361,Cetacean,marine-mammals,high,
C2779066055,Pinniped,marine-mammals,high,
C95124753,Seabird,seabirds,high,
C2779345533,Deep sea,deep-sea,high,
C172925046,Long-Term Ecological Research,long-term-ecological-research,high,
C57879066,Remote sensing,remote-sensing,medium,
C95457728,Great Lakes,great-lakes,high,
